index,Question,Segment Type,Segment Description,Answer,Count,Percentage,Count_log,Facebook,Instagram,Snapchat,Twitter,nan,Count_standardized,Percentage_standardized
98,What social platform has influenced your online shopping most?,University,University of Oregon,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
99,What social platform has influenced your online shopping most?,University,University of Oregon,nan,1,0.25,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,0.19568312320000966
100,What social platform has influenced your online shopping most?,University,University of Toronto,Facebook,1,0.333,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,0.4947245221342139
101,What social platform has influenced your online shopping most?,University,University of Toronto,Instagram,1,0.333,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,-0.41638912033078446,0.4947245221342139
102,What social platform has influenced your online shopping most?,University,University of Toronto,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
103,What social platform has influenced your online shopping most?,University,University of Toronto,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
104,What social platform has influenced your online shopping most?,University,University of Toronto,nan,1,0.333,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,0.4947245221342139
105,What social platform has influenced your online shopping most?,University,State University of New York Geneso,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
106,What social platform has influenced your online shopping most?,University,State University of New York Geneso,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
107,What social platform has influenced your online shopping most?,University,State University of New York Geneso,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
108,What social platform has influenced your online shopping most?,University,State University of New York Geneso,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
109,What social platform has influenced your online shopping most?,University,State University of New York Geneso,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
110,What social platform has influenced your online shopping most?,University,Carthage College,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
111,What social platform has influenced your online shopping most?,University,Carthage College,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
